Unnamed: 0,주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,수확수,열매수
6,3.0,15.8222222222222,30.4,10.0177777777778,47.2833333333333,6.55555555555556,11.7111111111111,11.9722222222222,0.0,14.4444444444444
7,4.0,14.0888888888889,28.8777777777778,10.46,47.25,7.22222222222222,12.1203703703704,12.4644444444444,0.0,14.8888888888889
8,5.0,16.3555555555556,27.6777777777778,10.3677777777778,45.25,7.33333333333333,12.8240740740741,13.2022222222222,0.0,14.8888888888889
9,6.0,18.8777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
10,7.0,18.8777777777778,25.8111111111111,10.7044444444444,40.1833333333333,9.44444444444444,14.0917989417989,14.4522222222222,0.0,16.8888888888889
11,8.0,20.2777777777778,25.6,10.64,41.1666666666667,9.11111111111111,14.8407407407407,15.1744444444444,0.0,17.4444444444444
12,9.0,18.9444444444444,34.5666666666667,11.5555555555556,39.9833333333333,8.55555555555556,15.3198412698413,15.6711111111111,0.0,19.1111111111111
13,10.0,23.1222222222222,27.8222222222222,10.29,38.8,11.1111111111111,16.1842592592593,16.4222222222222,0.0,21.1111111111111
14,11.0,25.3666666666667,24.5777777777778,8.98222222222222,34.8833333333333,13.2222222222222,16.8402116402116,17.2833333333333,0.0,19.8888888888889
0,48.0,18.7,30.8333333333333,9.41,46.5833333333333,10.3333333333333,6.83333333333333,7.111,0.0,17.8333333333333
1,49.0,17.5833333333333,33.6,10.3766666666667,45.8833333333333,12.0,7.305,7.72166666666667,0.0,18.5
2,50.0,13.4166666666667,23.9666666666667,9.86166666666667,45.2666666666667,12.0,7.72166666666667,8.04,0.0,16.5
3,51.0,15.3,23.8166666666667,9.79,44.6833333333333,11.3333333333333,8.45833333333333,8.68033333333333,0.0,18.0
4,52.0,15.2,25.9166666666667,9.40166666666667,44.75,12.8333333333333,8.83166666666667,9.16833333333333,0.0,19.1666666666667
5,1.0,12.7,29.3833333333333,9.45333333333333,44.2833333333333,11.0,9.55666666666667,9.72166666666667,0.0,17.8333333333333
6,2.0,12.3166666666667,22.5833333333333,9.725,43.1833333333333,11.3333333333333,9.89,10.3183333333333,0.0,16.6666666666667
7,3.0,16.45,32.4,10.47,43.0,11.5,10.2983333333333,10.57,0.0,16.3333333333333
8,4.0,14.3166666666667,27.6666666666667,10.0716666666667,44.6166666666667,10.5,10.6666666666667,11.13,0.0,17.0
9,5.0,16.4666666666667,33.4166666666667,9.58666666666667,43.0166666666667,11.3333333333333,11.6666666666667,11.7766666666667,0.0,17.3333333333333
10,6.0,14.3166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,47.0,12.1666666666667,18.3333333333333,12.0366666666667,48.1666666666667,9.33333333333333,0.0,0.0,0.0,17.5
