주차,생장길이,화방높이,줄기굵기,잎길이(엽장),잎수,착과군,개화군,열매수,,,,,,,,
4,16.90833333,31.65833333,12.31833333,44.25833333,9.916666667,13.11166667,13.62416667,13.83333333,,,,,,,,
5,18.00833333,32.89090909,12.5825,42.76666667,10.41666667,13.76416667,14.45833333,13.58333333,,,,,,,,
6,20.4,27.92727273,12.39416667,39.28333333,12.5,14.66666667,15.10333333,14.66666667,,,,,,,,
7,16.85833333,33.41666667,13.13333333,40.99166667,12.83333333,15.30555556,15.60666667,15.83333333,,,,,,,,
8,19.425,26.73,12.86333333,42.253,14.33333333,15.88888889,16.35916667,15.75,,,,,,,,
9,19.88333333,30.98181818,12.47916667,40.83333333,13.33333333,16.60416667,17.0475,17.25,,,,,,,,
10,23.625,22.36666667,10.62083333,40.41666667,14.83333333,17.32222222,17.88833333,17.5,,,,,,,,
19,21,12.51666667,6.843333333,38.25,13.16666667,22.19259259,22.57833333,24.66666667,,,,,,,,
20,25.53333333,17.15,8.036666667,38.78333333,14.83333333,23.12777778,23.34166667,22,,,,,,,,
15,23.96666667,17.88333333,9.633333333,39.30833333,13.66666667,19.03174603,19.42833333,23.5,,,,,,,,
16,24.43333333,12.55,7.448333333,38.1,14.5,19.80238095,20.16666667,24.83333333,,,,,,,,
17,26.26666667,13.2,7.716666667,38.38333333,13.83333333,20.7526455,21.10166667,24.16666667,,,,,,,,
9,22.83333333,23.88333333,10.92333333,42.61666667,11.5,14.38492063,14.74666667,21,,,,,,,,
10,22.33333333,20.53333333,10.23,40.03333333,12.83333333,15.18412698,15.56333333,21.66666667,,,,,,,,
11,23.61666667,28.58333333,10.32166667,40.55,12,15.7797619,16.14666667,23.33333333,,,,,,,,
6,18.275,0,0,0,0,0,4.15625,19,,,,,,,,
7,18.275,32.95,11.875,47.75,10.83333333,12.68452381,12.97,19.5,,,,,,,,
8,21.6,22.25,11.62666667,44.95,11.16666667,13.59920635,14.055,19.83333333,,,,,,,,
