제어번호,제목,저자,발행처,발행년도,ISBN번호,분류기호,대출횟수
965948,Pachinko,[by] Min Jin Lee,Grand Central Publishing,2017,9.78146E+12,8,5
638118,가면산장 살인사건,히가시노 게이고 지음,재인,2014,9.78899E+12,8,5
1314638,가재가 노래하는 곳 :델리아 오언스 장편소설,델리아 오언스 [지음],살림 : 살림출판사,2019,9.78895E+12,8,5
1481820,개 :김훈 소설,김훈 지음,푸른숲,2021,9.79116E+12,8,5
1329541,갯벌에서 살아남기 .1 =Survival in Tidal flat,곰돌이 co. 글,미래엔(Mirae N): 아이세움,2010,9.78894E+12,4,5
85046,갯벌에서 살아남기 .2,곰돌이 co. 글,미래엔,2011,9.78894E+12,4,5
1271625,거인의 탄생 :이원호의 성장 개척 기업소설 .3 대한국인2,이원호 [지음],한결미디어,2018,9.79116E+12,8,5
1478867,건강 불균형 바로잡기 :과학으로 얽힌 음식 호르몬 건강의 삼각관계,닐 바너드 지음,Bronstein: 로크미디어,2021,9.79114E+12,5,5
1048586,검사내전 :생활형 검사의 사람 공부 세상 공부,김웅 지음,부키,2018,9.78896E+12,3,5
1131265,경애의 마음 :김금희 장편소설,김금희 [지음],창비,2018,9.78894E+12,8,5
2357,고백 : 미나토 가나에 장편소설,미나토 가나에 글,비채,2009,9.78899E+12,8,5
1475677,괜찮은 척 말고 애쓰지도 말고 :마음 읽어주는 신부 홍창진의 유쾌한 인생 수업,홍창진 지음,허들링북스,2021,9.79119E+12,1,5
1408108,그 거울은 거짓말을 한다,야쿠마루 가쿠 저,북플라자(Book Plaza),2020,9.79119E+12,8,5
1384602,기다려 오백원!,우성희 글,단비어린이 : 가치창조,2020,9.78896E+12,8,5
1473627,긴긴밤,루리 글?그림,문학동네,2021,9.78895E+12,8,5
1095775,나를 부르는 숲,빌 브라이슨 [지음],까치글방: 까치,2018,9.78897E+12,9,5
1475616,뇌는 당신이 왜 우울한지 알고 있다 :나의 알 수 없는 기분에 대한 가장 과학적인 처방전,야오나이린 지음,더 퀘스트: 길벗,2021,9.79117E+12,1,5
1408226,다시 비웃는 숙녀 :나카야마 시치리 연작소설,나카야마 시치리 지음,블루홀6,2020,9.79119E+12,8,5
1476231,달까지 가자 :장류진 장편소설,장류진 지음,창비,2021,9.78894E+12,8,5
1472819,디 앤서 :어느 월스트리트 트레이더의 다이어리 =The answer:diary of a wall street trader,뉴욕주민 지음,푸른숲,2021,9.79116E+12,3,5
1024765,딸에 대하여 :김혜진 장편소설,김혜진 [지음],민음사,2017,9.78894E+12,8,5
1375533,라플라스의 마녀 [비디오녹화자료],미이케 타카시 [감독],미디어허브 [제작],2019,,6,5
943832,랩걸 :나무 과학 그리고 사랑,호프 자런 [지음],알마 출판사(Alma),2017,9.79116E+12,4,5
1150642,먹고 산다는 것에 대하여,이나가키 에미코 지음,북하우스: 엘리,2018,9.78896E+12,5,5
814842,백년 허리 :허리 보증 기간을 100년으로 늘리는 방법,정선근 [지음],사이언스북스,2015,9.78898E+12,5,5
1475704,범인 없는 살인의 밤,히가시노 게이고 지음,RHK(알에이치코리아),2021,9.78893E+12,8,5
1473162,변두리 로켓 .[3] 고스트,이케이도 준 지음,인플루엔셜,2021,9.79119E+12,8,5
1212664,부의 본능 :슈퍼리치가 되는 9가지 방법,브라운스톤 지음,북새통: 토트출판사,2018,9.79119E+12,3,5
1220440,부자 아빠 가난한 아빠 :부자들이 들려주는 '돈'과 '투자'의 비밀 : 20주년 특별 기념판,로버트 기요사키 [지음],민음인,2018,9.79116E+12,3,5
1478885,불온한 잠 :살인곰 서점의 사건파일: 와카타케 나나미 소설,와카타케 나나미 지음,내 친구의 서재,2021,9.7912E+12,8,5
1413190,블랙 쇼맨과 이름 없는 마을의 살인,히가시노 게이고 지음,RHK(알에이치코리아),2020,9.78893E+12,8,5
1396381,비웃는 숙녀 :나카야마 시치리 장편소설,나카야마 시치리 지음,블루홀6(블루홀식스),2020,9.79119E+12,8,5
1405933,빛의 현관,요코야마 히데오 지음,검은숲 : 시공사,2020,9.79117E+12,8,5
1313589,사소한 변화,히가시노 게이고 [지음],비채 : 김영사,2019,9.78893E+12,8,5
1318465,살인 현장은 구름 위,히가시노 게이고 지음,재인,2019,9.78899E+12,8,5
36915,순이 삼촌 :현기영 소설집,현기영 지음,창비,2008,9.78894E+12,8,5
1478682,스토아 수업 :철학은 어떻게 삶의 기술이 되는가,라이언 홀리데이,다산초당: 다산북스,2021,9.79113E+12,1,5
1397550,시와 산책 =Poetry and walks,한정원 지음,시간의흐름,2020,9.7912E+12,8,5
1031897,신경 끄기의 기술 :인생에서 가장 중요한 것만 남기는 힘,마크 맨슨 지음,웅진씽크빅: 갤리온,2017,9.7889E+12,1,5
1005630,아몬드 :손원평 장편소설,손원평 [지음],창비,2017,9.78894E+12,8,5
1391708,아무튼 산,장보영 지음,코난북스,2020,9.79119E+12,8,5
1462885,암살자 :이원호 장편소설 .1 아프간,이원호 지음,한결미디어,2021,9.79116E+12,8,5
1462884,암살자 :이원호 장편소설 .3 중국 입성,이원호 지음,한결미디어,2021,9.79116E+12,8,5
896709,여름은 오래 그곳에 남아,마쓰이에 마사시 [지음],비채,2016,9.78893E+12,8,5
972495,오직 두 사람 :김영하 소설 : 그 두 사람 오직 두 사람만이 느꼈을 어떤 어둠에 대해서,김영하 [지음],문학동네,2017,9.78895E+12,8,5
1478918,요괴의 아이를 돌봐드립니다 .3,히로시마 레이코 글,넥서스friends: 넥서스,2021,9.79117E+12,8,5
993862,운다고 달라지는 일은 아무것도 없겠지만 :박준 산문,박준 [지음],난다,2017,9.7912E+12,8,5
1039718,워런버핏 바이블 :버핏이 직접 말해주는 투자와 경영의 지혜,워런 버핏,에프엔미디어,2017,9.79119E+12,3,5
1350278,인간의 흑역사,톰 필립스 지음,윌북,2019,9.79116E+12,9,5
706722,정의란 무엇인가,마이클 샌델 [저],와이즈베리 : 미래엔,2014,9.78894E+12,1,5
1397009,정책의 배신 :좌파 기득권 수호에 매몰된 대한민국 경제 사회 정책의 비밀,윤희숙 지음,21세기북스 : 북이십일,2020,9.78895E+12,3,5
648229,제로 투 원 :스탠퍼드대학교 스타트업 최고 명강의,피터 틸,한국경제신문,2014,9.78895E+12,3,5
1359500,주식투자 무작정 따라하기 =Stock market investing,윤재수 지음,길벗,2020,9.79117E+12,3,5
1303914,죽음 :베르나르 베르베르 장편소설 .1,베르나르 베르베르 [지음],열린책들,2019,9.78893E+12,8,5
1304072,진이 지니 :정유정 장편소설,정유정 [지음],은행나무,2019,9.79119E+12,8,5
1318485,차트의 정석 :한 권으로 끝내는 홈트레이딩시스템(HTS) 106가지 주가차트의 모든 것,김중근 지음,Winners Book(위너스북),2019,9.79119E+12,3,5
1039168,파리에서 도시락을 파는 여자 :평범한 대한민국 여자가 유럽에서 일으킨 기적,켈리 최 지음,다산북스: 다산3.0,2017,9.79113E+12,3,5
1384459,파타고니아 파도가 칠 때는 서핑을 :지구가 목적 사업은 수단 인사이드 파타고니아,이본 쉬나드 지음,라이팅하우스,2020,9.789E+12,3,5
1370296,페인트 :이희영 장편소설,이희영 지음,창비,2019,9.78894E+12,8,5
1297196,편지,히가시노 게이고 [지음],RHK(알에이치코리아),2019,9.78893E+12,8,5
873997,프레임 :나를 바꾸는 심리학의 지혜,최인철 지음,북이십일 : 21세기북스,2016,9.78895E+12,1,5
1478630,프로보커터 :'그들'을 도발해 '우리'를 결집하는 자들: 주목경제 시대의 문화정치와 관종 멘털리티 연구 =Provocateur,김내훈 지음,서해문집,2021,9.79119E+12,3,5
1230813,하버드 상위 1퍼센트의 비밀 :신호를 차단하고 깊이 몰입하라,정주영 지음,한국경제신문: 한경BP,2018,9.78895E+12,3,5
618033,학생가의 살인,히가시노 게이고 [지음],재인,2014,9.78899E+12,8,5
1008112,해가 지는 곳으로 :최진영 장편소설,최진영 [지음],민음사,2017,9.78894E+12,8,5
1405881,(7대 이슈로 보는) 돈의 역사 .2 화폐 전염병 기후변화 경쟁 신뢰 금융위기 갈등 =The history of money,홍춘욱 지음,Rok Media(로크미디어),2020,9.79114E+12,3,4
1103552,(가치투자가 쉬워지는) V차트 :차트와 함께 새로운 투자의 길을 열어줄 가치투자 안내서 =Value chart for value investment,최준철 지음,이콘출판: 이콘,2004,9.78899E+12,3,4
1474963,(강방천의) 관점 :주식투자 대가가 가치를 찾는 법,강방천 지음,한국경제신문: 한경BP,2021,9.78895E+12,3,4
824169,(김대식의) 인간 vs 기계 :인공지능이란 무엇인가,김대식 [지음],동아시아,2016,9.78896E+12,0,4
1004907,(만화로 보는) 한국형 가치투자 전략 :상승장에 대박나고 하락장에 살아남는 가치투자에 올인하라!,최준철,페이퍼로드,2017,9.79119E+12,3,4
1334451,(반지의) 얼렁뚱땅 비밀일기 .23권,종이 글?그림,대원씨아이,2019,9.79114E+12,8,4
1478681,(비울수록 사람을 더 성장시키는) 리더의 말그릇,김윤나 지음,카시오페아: 카시오페아 출판사,2021,9.79119E+12,1,4
1093783,(빅터 프랭클의) 죽음의 수용소에서 :죽음조차 희망으로 승화시킨 인간 존엄성의 승리,빅터 프랭클 지음,청아출판사,2017,9.78894E+12,1,4
1319280,(설민석의) 삼국지 :누구나 쉽게 시작하고 모두가 빠져드는 이야기 .1,설민석 [지음],세계사,2019,9.78893E+12,8,4
1329891,(설민석의) 삼국지 :누구나 쉽게 시작하고 모두가 빠져드는 이야기 .2,설민석 [지음],세계사,2019,9.78893E+12,8,4
1318296,(설민석의) 세계사 대모험 .1 프랑스혁명 속으로!,설민석,단꿈아이: 단꿈드림,2019,9.79119E+12,9,4
1472902,(스타강사 사경인 회계사의 만화) 재무제표 모르면 주식투자 절대로 하지마라 .하,사경인 원작,베가북스,2020,9.79119E+12,3,4
1373487,(신비아파트) 한자귀신 :오싹 공포 한자 학습 만화 .2 저주의 대가,김강현 글,서울문화사,2019,9.78893E+12,7,4
1373488,(신비아파트) 한자귀신 :오싹 공포 한자 학습 만화 .3 새로운 봉인 카드,김강현 글,서울문화사,2019,9.78893E+12,7,4
1373489,(신비아파트) 한자귀신 :오싹 공포 한자 학습 만화 .4 악귀 조종자,김강현 글,서울문화사,2019,9.79116E+12,7,4
1397572,(아는 만큼 당첨되는) 청약의 기술,정숙희 지음,길벗,2020,9.79117E+12,3,4
1313687,(열정이넘쳐의) 돈되는 재건축 재개발 .2 재개발 완전정복편,이정열 지음,잇콘,2019,9.7912E+12,3,4
665838,(엽기 과학자) 프래니 .1 도시락 괴물이 나타났다,짐 벤튼 글?그림,이퍼블릭,2005,8955856237,8,4
1334937,(엽기 과학자) 프래니 .6 복제 로봇과 프래니의 대결,짐 벤튼 글?그림,사파리 : 이퍼블릭,2019,9.79116E+12,8,4
1329574,(엽기 과학자) 프래니 .8 머리카락 괴물의 습격,짐 벤튼 글?그림,사파리: 이퍼블릭,2019,9.79116E+12,8,4
788468,(워렌 버핏의 위대한 동업자) 찰리 멍거,트렌 그리핀 지음,처음북스,2015,9.79117E+12,3,4
1349148,(이번엔!) 강원도,강석균 지음,넥서스books : 넥서스,2019,9.79116E+12,9,4
1473799,(이상한 과자 가게) 전천당 .10,히로시마 레이코 글,길벗스쿨,2021,9.79116E+12,8,4
1350269,(이상한 과자 가게) 전천당 .4,히로시마 레이코 글,길벗스쿨,2019,9.79116E+12,8,4
1414699,(이상한 과자 가게) 전천당 .9,히로시마 레이코 글,길벗스쿨,2020,9.79116E+12,8,4
1334594,(읽으면서 바로 써먹는) 어린이 사자소학,이수인 글?그림,파란정원: 책먹는아이,2019,9.79116E+12,1,4
1242191,(잠든 사이 월급 버는) 미국 배당주 투자 :안정된 수익 내는 배당투자의 나침반,홍승초,베가북스,2019,9.79119E+12,3,4
1472895,(전인구의) 주식투자 일주일 만에 뽀개기,전인구 지음,아라크네,2021,9.79116E+12,3,4
1473775,(지속가능한) 부의 비결 :돈의 노예에서 돈의 주인이 되는 삶으로 바꾸는 법,배종찬 지음,나비의 활주로,2021,9.79119E+12,3,4
1462699,(체념한 당신이 놓치고 있는) 서울아파트 2급지의 비밀 :부린이를 위한 실전 부동산,가즈하 지음,델피노,2021,9.7912E+12,3,4
